threads;size;time_ms
1;100000;92
1;100000;95
1;100000;89
1;100000;94
1;100000;91
2;100000;54
2;100000;52
2;100000;57
2;100000;55
2;100000;53
4;100000;33
4;100000;32
4;100000;31
4;100000;34
4;100000;33
8;100000;27
8;100000;26
8;100000;28
8;100000;25
8;100000;27
1;500000;480
1;500000;492
1;500000;501
1;500000;475
1;500000;488
2;500000;265
2;500000;270
2;500000;258
2;500000;262
2;500000;268
4;500000;148
4;500000;150
4;500000;155
4;500000;149
4;500000;152
8;500000;132
8;500000;139
8;500000;128
8;500000;133
8;500000;130
